Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude,Segment 1 PAR,,,,,,,,,,
BLW,14.06.2014 17:49:14,,,,,,,,,,,0.0,0.0,0.0,0.0,168.9,151.5,211.3,172.8,981.4,3427,
BLW,14.06.2014 17:49:29,,,,,,,,,,,0.0,0.0,0.0,0.0,196.2,143.3,110.0,112.8,936.9,3428,
BLW,14.06.2014 17:49:48,,,,,,,,,,,0.0,0.0,0.0,0.0,138.2,87.3,131.6,150.4,948.8,3429,
SUM,14.06.2014 17:49:53,NE11R,955.7,147.9,0.154,2.47,1.00,0.60,47°,46°,9°,,,,,,,,,,3430,3427
BLW,14.06.2014 17:51:30,,,,,,,,,,,0.0,0.0,0.0,0.0,170.8,229.8,196.8,112.9,914.0,3431,
BLW,14.06.2014 17:51:40,,,,,,,,,,,0.0,0.0,0.0,0.0,176.0,131.6,240.4,182.1,926.8,3432,
BLW,14.06.2014 17:51:54,,,,,,,,,,,0.0,0.0,0.0,0.0,96.2,69.1,92.9,181.7,934.2,3433,
SUM,14.06.2014 17:51:55,NE11,925.0,156.7,0.170,2.38,1.00,0.59,47°,46°,9°,,,,,,,,,,3434,3431
BLW,14.06.2014 17:52:44,,,,,,,,,,,0.0,0.0,0.0,0.0,260.3,110.5,84.8,87.9,944.1,3435,
BLW,14.06.2014 17:52:53,,,,,,,,,,,0.0,0.0,0.0,0.0,211.1,152.3,102.5,79.9,926.5,3436,
BLW,14.06.2014 17:53:02,,,,,,,,,,,0.0,0.0,0.0,0.0,174.1,109.0,70.3,68.6,932.5,3437,
SUM,14.06.2014 17:53:05,NE12,934.4,126.0,0.135,2.72,1.00,0.59,48°,46°,9°,,,,,,,,,,3438,3435
BLW,14.06.2014 17:54:01,,,,,,,,,,,0.0,0.0,0.0,0.0,141.2,131.2,261.2,234.9,922.6,3439,
BLW,14.06.2014 17:54:10,,,,,,,,,,,0.0,0.0,0.0,0.0,107.8,118.5,111.7,152.6,918.4,3440,
BLW,14.06.2014 17:54:20,,,,,,,,,,,0.0,0.0,0.0,0.0,126.3,124.0,139.5,145.4,913.8,3441,
SUM,14.06.2014 17:54:21,NE13,918.3,149.5,0.163,2.39,1.00,0.57,48°,46°,9°,,,,,,,,,,3442,3439
BLW,14.06.2014 17:54:44,,,,,,,,,,,0.0,0.0,0.0,0.0,255.2,73.1,118.6,48.2,899.7,3443,
BLW,14.06.2014 17:54:55,,,,,,,,,,,0.0,0.0,0.0,0.0,218.5,84.2,138.3,82.3,881.1,3444,
BLW,14.06.2014 17:55:06,,,,,,,,,,,0.0,0.0,0.0,0.0,116.0,93.6,80.7,89.6,862.4,3445,
SUM,14.06.2014 17:55:08,NE14,881.1,116.5,0.132,2.71,1.00,0.51,48°,46°,9°,,,,,,,,,,3446,3443
BLW,14.06.2014 17:55:40,,,,,,,,,,,0.0,0.0,0.0,0.0,150.8,144.5,86.4,43.2,870.6,3447,
BLW,14.06.2014 17:56:03,,,,,,,,,,,0.0,0.0,0.0,0.0,119.2,43.9,39.5,32.8,848.4,3448,
BLW,14.06.2014 17:56:21,,,,,,,,,,,0.0,0.0,0.0,0.0,50.4,35.5,27.9,27.2,857.0,3449,
SUM,14.06.2014 17:56:22,NE14R,858.7,66.8,0.078,3.48,1.00,0.51,48°,46°,9°,,,,,,,,,,3450,3447
