Record Type,Date and Time,PI,MI,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude,Segment 1 PAR,Segment 2 PAR,Segment 3 PAR,Segment 4 PAR,Segment 5 PAR,Segment 6 PAR,Segment 7 PAR,Segment 8 PAR,External Sensor PAR,Record ID,Raw Record ID
BLW,27.10.2014 15:48:42,,,,,,,,,,,,,0,0,0,0,18.8,45.3,29,37.9,109.5,7121,
BLW,27.10.2014 15:48:52,,,,,,,,,,,,,0,0,0,0,39.3,42.9,47.7,24.7,109.1,7122,
BLW,27.10.2014 15:48:59,,,,,,,,,,,,,0,0,0,0,44,27.8,6.9,16.5,109,7123,
SUM,27.10.2014 15:49:01,,,NEG21R,109.2,31.8,0.145,0.78,1,0.02,63°,46°,9°,,,,,,,,,,7124,7121
BLW,27.10.2014 15:49:43,,,,,,,,,,,,,0,0,0,0,47.9,47.9,43,46.3,108.5,7125,
BLW,27.10.2014 15:49:50,,,,,,,,,,,,,0,0,0,0,43,40,61.7,52.1,108.4,7126,
BLW,27.10.2014 15:49:58,,,,,,,,,,,,,0,0,0,0,34.8,36.5,48.6,32.7,108.4,7127,
SUM,27.10.2014 15:50:02,,,NEG21,108.5,44.6,0.411,1.05,1,0.02,63°,46°,9°,,,,,,,,,,7128,7125
BLW,27.10.2014 15:50:32,,,,,,,,,,,,,0,0,0,0,85,84,85.6,88.6,108.2,7129,
BLW,27.10.2014 15:50:37,,,,,,,,,,,,,0,0,0,0,87.4,86,87.4,87,108,7130,
BLW,27.10.2014 15:50:41,,,,,,,,,,,,,0,0,0,0,87.8,88,87.8,85.3,107.9,7131,
SUM,27.10.2014 15:50:44,,,NEG22,108,86.7,0.802,0.26,1,0.02,63°,46°,9°,,,,,,,,,,7132,7129
BLW,27.10.2014 15:51:09,,,,,,,,,,,,,0,0,0,0,83.6,82.5,85.1,85.8,107.7,7133,
BLW,27.10.2014 15:51:12,,,,,,,,,,,,,0,0,0,0,84.1,82.8,85.2,84.6,107.5,7134,
BLW,27.10.2014 15:51:16,,,,,,,,,,,,,0,0,0,0,85.9,85.6,85.6,86.8,107.3,7135,
SUM,27.10.2014 15:51:17,,,NEG23,107.5,84.9,0.789,0.28,1,0.02,63°,46°,9°,,,,,,,,,,7136,7133
BLW,27.10.2014 15:51:42,,,,,,,,,,,,,0,0,0,0,60.7,48.3,28.5,53.1,106.7,7137,
BLW,27.10.2014 15:51:52,,,,,,,,,,,,,0,0,0,0,62.2,44.6,31.9,38.8,106.7,7138,
BLW,27.10.2014 15:52:00,,,,,,,,,,,,,0,0,0,0,68,59.3,63.9,47.7,106.7,7139,
SUM,27.10.2014 15:52:01,,,NEG24,106.7,50.6,0.474,0.91,1,0.02,63°,46°,9°,,,,,,,,,,7140,7137
BLW,27.10.2014 15:52:17,,,,,,,,,,,,,0,0,0,0,41,60.3,62.4,50,106.7,7141,
BLW,27.10.2014 15:52:22,,,,,,,,,,,,,0,0,0,0,32.6,38.2,28.9,36,106.6,7142,
BLW,27.10.2014 15:52:26,,,,,,,,,,,,,0,0,0,0,10.2,32.3,28.1,34.2,106.6,7143,
SUM,27.10.2014 15:52:30,,,NEG24R,106.7,37.9,0.355,1.3,1,0.02,63°,46°,9°,,,,,,,,,,7144,7141
BLW,27.10.2014 15:54:12,,,,,,,,,,,,,0,0,0,0,22.6,41.9,42.7,21.3,105.7,7145,
BLW,27.10.2014 15:54:17,,,,,,,,,,,,,0,0,0,0,30.5,38.1,26.1,17,105.6,7146,
BLW,27.10.2014 15:54:22,,,,,,,,,,,,,0,0,0,0,17.9,15.7,21.6,25.4,105.5,7147,
SUM,27.10.2014 15:54:24,,,NEG21R,105.6,26.7,0.253,1.66,1,0.02,63°,46°,9°,,,,,,,,,,7148,7145
BLW,27.10.2014 15:55:15,,,,,,,,,,,,,0,0,0,0,58.9,36.9,20.5,21,105.5,7149,
BLW,27.10.2014 15:55:26,,,,,,,,,,,,,0,0,0,0,54.8,41.6,17.8,23,105.4,7150,
