Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [Τ],Leaf Area Index [LAI],Leaf Distribuition [Χ],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude,Segment 1 PAR,Segment 2 PAR,Segment 3 PAR,Segment 4 PAR,Segment 5 PAR,Segment 6 PAR,Segment 7 PAR,Segment 8 PAR,External Sensor PAR,Record ID,Raw Record ID
BLW,19.07.2013 16:28:42,,,,,,,,,,,0.0,0.0,0.0,314.3,191.8,244.4,138.4,137.4,1769.9,27,
BLW,19.07.2013 16:29:39,,,,,,,,,,,0.0,0.0,0.0,70.6,163.9,112.6,157.3,202.9,1728.5,28,
BLW,19.07.2013 16:30:18,,,,,,,,,,,0.0,0.0,0.0,195.9,185.0,101.5,85.8,254.0,1663.1,29,
SUM,19.07.2013 16:30:20,INV-C5A1,1720.5,170.4,0.099,4.03,1.00,0.88,34°,47°,7°,,,,,,,,,,30,27
BLW,19.07.2013 16:31:57,,,,,,,,,,,0.0,0.0,0.0,98.0,40.7,33.2,108.3,211.2,897.5,31,
BLW,19.07.2013 16:32:34,,,,,,,,,,,0.0,0.0,0.0,29.6,29.4,37.6,82.9,121.4,758.6,32,
BLW,19.07.2013 16:33:04,,,,,,,,,,,0.0,0.0,0.0,34.9,64.1,55.5,42.7,97.6,746.9,33,
SUM,19.07.2013 16:33:09,INV-C5A2,801.0,72.5,0.089,3.20,1.00,0.15,35°,47°,7°,,,,,,,,,,34,31
BLW,19.07.2013 16:35:21,,,,,,,,,,,0.0,0.0,0.0,155.9,171.3,120.0,116.9,282.2,1254.1,35,
BLW,19.07.2013 16:36:11,,,,,,,,,,,0.0,0.0,0.0,102.5,58.2,51.0,55.9,89.9,843.0,36,
BLW,19.07.2013 16:36:52,,,,,,,,,,,0.0,0.0,0.0,85.7,76.3,56.7,39.8,75.1,708.5,37,
SUM,19.07.2013 16:36:55,INV-C5B2,935.2,102.5,0.105,3.04,1.00,0.12,35°,47°,7°,,,,,,,,,,38,35
BLW,19.07.2013 16:38:00,,,,,,,,,,,0.0,0.0,0.0,118.1,99.1,146.3,83.7,102.8,1133.0,39,
BLW,19.07.2013 16:39:33,,,,,,,,,,,0.0,0.0,0.0,100.8,97.3,175.9,106.9,391.5,1668.8,40,
BLW,19.07.2013 16:40:19,,,,,,,,,,,0.0,0.0,0.0,105.8,79.6,101.2,162.7,168.8,1692.1,41,
SUM,19.07.2013 16:40:20,INV-C5B1,1498.0,136.1,0.092,3.92,1.00,0.90,36°,47°,7°,,,,,,,,,,42,39
BLW,19.07.2013 16:48:36,,,,,,,,,,,0.0,0.0,0.0,79.4,73.3,37.6,48.1,94.6,1521.0,43,
BLW,19.07.2013 16:49:12,,,,,,,,,,,0.0,0.0,0.0,58.6,55.9,96.9,235.5,247.9,1656.1,44,
BLW,19.07.2013 16:50:12,,,,,,,,,,,0.0,0.0,0.0,209.0,265.5,221.0,95.8,255.0,1676.7,45,
SUM,19.07.2013 16:50:15,INV-C4A1,1618.0,138.3,0.084,4.33,1.00,0.91,37°,47°,7°,,,,,,,,,,46,43
BLW,19.07.2013 16:51:21,,,,,,,,,,,0.0,0.0,0.0,85.8,110.3,174.0,292.4,270.5,1658.8,47,
BLW,19.07.2013 16:51:46,,,,,,,,,,,0.0,0.0,0.0,316.8,239.7,145.2,128.2,339.3,1657.0,48,
BLW,19.07.2013 16:52:18,,,,,,,,,,,0.0,0.0,0.0,135.5,136.1,121.5,228.8,996.2,1654.5,49,
SUM,19.07.2013 16:52:21,INV-C4A2,1656.8,248.0,0.150,3.45,1.00,0.90,38°,47°,7°,,,,,,,,,,50,47
BLW,19.07.2013 16:53:15,,,,,,,,,,,0.0,0.0,0.0,79.7,150.6,136.7,112.8,261.7,1641.7,51,
