nr_cylinder,nr_cap,tara_cylinder_g,place,plot,depth,field_g,fieldlab_g,tara_cup_g,fresh_cup_g,adhesive_g,dry_cup_g,errorcode,date,dry_cup_g_measureend,dry_cup_g_3days,Bemerkung
1,111,123.8,KRA,2,4,249.1,,2.2,250.15,0,246.29,54,2014/08/29,,,ca -1.5g TS
2,112,123.5,SOM,1,4,264.5,,3.77,268.16,0,231.73,0,,,,
3,113,126.8,CAS,4,4,275.1,,3.73,278.52,0,230.97,0,2014/08/28,,,
6,106,123,KRA,3,4,262.7,,2.22,262.35,0,239.2,0,2014/08/29,,,
7,107,123.2,CAS,3,4,272.6,,3.74,275.35,0,230.95,0,2014/08/28,,,
8,108,123.7,KRA,6,4,244.8,,2.19,245.82,0,241.78,0,2014/08/29,,,
9,109,120,CAS,5,4,265.2,,3.74,267.7,0.23,220.76,56,2014/08/28,,,stärkere Ausebnung
11,101,124.9,ZOL,1,4,260.4,,2.15,261.7,1,251.36,0,2014/09/01,251.46,253.2,
12,102,123.1,SOM,6,4,259.5,,3.73,262.9,0,233.59,53,,,,
13,103,121.4,KRA,5,4,259.1,,2.18,259.84,0,234.68,0,2014/08/29,,,ca. -2g TS
14,104,122,THU,3,4,254.8,,2.18,256.39,0.57,252.71,54,2014/08/30,,,
17,116,123.5,BBR,1ex,4,244,243.95,2.2,245.32,0,237.4,0,2014/08/24,237.5,239.28,
19,119,121.9,BBR,4,4,274.2,274.37,2.2,275.56,0,244.58,0,2014/08/25,,,
21,123,104,BCH,2,4,220.7,220.83,2.17,222.1,0,219.1,55,2014/08/24,,,ausgefallene Stücke reponiert
22,302,108.8,BCH,6,4,232.4,,2.17,233.9,0.87,206.34,,2014/08/26,,,
23,23,120,BBR,6,4,257.4,257.73,2.17,258.48,0,239.81,,2014/08/24,,,
24,118,105.6,BBR,3,4,263.5,263.68,2.3,264,0,231.91,,2014/08/25,,,
25,122,109.8,BCH,5,4,248.1,248.18,2.23,249.72,0.74,247.84,54,2014/08/24,,,ca. -2.5g TS
26,303,103.5,BCH,4,4,253.4,,2.19,254.76,0.94,230.6,,2014/08/26,,,
27,27,124.2,BBR,5,4,256.3,256.59,2.23,258.49,0,250.54,,2014/08/24,250.63,252.4,
28,117,107.7,BBR,1,4,236.7,237.22,2.16,238.82,0,231.15,54,2014/08/24,,,ca. -5g TS
29,120,101.5,BCH,3,4,259.3,,2.18,260.42,0.96,235.17,,2014/08/26,,,
30,124,108.9,BCH,1,4,258.5,258.57,2.16,257.74,0,235.4,,2014/08/25,,,
31,31,121.3,NEG,1,4,233.3,233.1,3.72,236.42,2.08,224.87,,2014/08/27,,,
32,32,131.9,NEG,3,4,269.8,269.8,3.72,272.6,1.69,226.64,,2014/08/27,,,
33,33,130.2,NEG,6,4,268.5,268.6,3.74,270.13,0.39,226.61,,2014/08/27,,,
34,34,126.6,BBR,2,4,275,275.31,2.13,275.38,0,252.15,,2014/08/24,,,
35,35,126.6,ZOL,5,4,273.2,,2.25,273.5,1.6,262.96,,2014/09/01,,,
36,36,123.9,CAS,1,4,272.5,273,3.73,274.49,0.7,241.19,,2014/08/27,,,
37,37,127.7,ZOL,1,4,270.8,,2.2,271.98,1.23,262.79,54,2014/09/01,,,
38,38,130,ZOL,4,4,299.3,,2.25,298.46,2.14,263.08,55,2014/09/01,,,grosses Wurmloch
39,39,127.1,ZOL,3,4,270.4,,2.24,271.06,0,238.21,,2014/09/01,238.31,239.89,
40,40,123.4,NEG,5,4,226.5,225.8,3.73,229.06,1.98,218.16,54,2014/08/27,,,"Rel. Starke Anpassungen inkl Abtragung nötig, ca. -3g Erde"
41,41,120.8,NEG,4,4,256,256,3.74,258.79,1.14,214.98,,2014/08/27,,,
45,45,126.6,NEG,2,4,267.3,267.4,3.73,269.31,0,227.1,,2014/08/27,,,
47,47,123.2,CAS,2,4,267.8,,3.72,271.03,1.3,224.42,,2014/08/28,,,
48,48,125.1,ZOL,3,4,285.5,,2.2,286.21,0,247.11,,2014/09/01,247.21,248.98,
49,49,124.6,CAS,6,4,259.1,259,2.18,258.36,0.75,227.76,,2014/08/27,,,
16,16,137.5,,,,,,,,,,51,,,,
20,121,121.8,,,,,,,,,,,,,,
4,114,124.2,,,,,,,,,,,,,,
5,115,123,,,,,,,,,,,,,,
10,110,123.4,,,,,,,,,,,,,,
15,105,122.9,,,,,,,,,,,,,,
46,46,126.9,,,,,,,,,,,,,,
42,42,124.3,,,,,,,,,,,,,,
43,43,129.3,,,,,,,,,,,,,,
44,44,129.5,,,,,,,,,,,,,,
50,50,129.9,,,,,,,,,,,,,,
