nr_cylinder,nr_cap,tara_cylinder_g
1,111,123.8
2,112,123.5
3,113,126.8
6,106,123
7,107,123.2
8,108,123.7
9,109,120
11,101,124.9
12,102,123.1
13,103,121.4
14,104,122
17,116,123.5
19,119,121.9
21,123,104
22,302,108.8
23,23,120
24,118,105.6
25,122,109.8
26,303,103.5
27,27,124.2
28,117,107.7
29,120,101.5
30,124,108.9
31,31,121.3
32,32,131.9
33,33,130.2
34,34,126.6
35,35,126.6
36,36,123.9
37,37,127.7
38,38,130
39,39,127.1
40,40,123.4
41,41,120.8
45,45,126.6
47,47,123.2
48,48,125.1
49,49,124.6
16,16,137.5
20,121,121.8
4,114,124.2
5,115,123
10,110,123.4
15,105,122.9
46,46,126.9
42,42,124.3
43,43,129.3
44,44,129.5
50,50,129.9
