nr,place,plot,try,depth,depth_max_cm,freshweight_field_g,freshweight_lab_g,dryweight_lab_g,error,date
1,THU,2,1,4,8,52.2,52.29,42.22,31,2014/08/30
2,THU,2,2,4,8,47.4,47.75,38.45,31,2014/08/30
3,THU,5,1,4,8,55.5,55.72,54.55,31,2014/08/30
4,THU,5,2,4,8,55.4,55.6,53.99,31,2014/08/30
5,THU,6,1,4,8,54.32,54.2,45.7,31,2014/08/30
6,THU,6,2,4,8,51.2,51.29,43.42,31,2014/08/30
1,SOM,2,1,4,8,53.7,53.76,49.94,31,2014/08/28
2,SOM,2,2,4,8,63.4,63.52,59.82,31,2014/08/28
3,SOM,4,1,4,8,51.1,51.05,48.67,31,2014/08/28
4,SOM,4,2,4,8,48.6,48.68,45.89,31,2014/08/28
