nr,place,plot,hole,depth,field_g,fieldlab_g,tubecolor,dry_g,depth_max_cm,error,date,
101,ZOL,1,1,5,55.3,55.65,weiss,52.28,,22,2014/09/01,
102,ZOL,1,1,25,59.5,59.94,weiss,55.98,,22,2014/09/01,
103,ZOL,1,2,5,61.1,61.01,weiss,57.2,,0,2014/09/01,
104,ZOL,1,2,25,63,62.89,weiss,58.49,35,11,2014/09/01,
105,ZOL,1,2,45,,,,,,11,2014/09/01,
106,ZOL,1,3,5,60.9,60.85,blau,57.03,,0,2014/09/01,
107,ZOL,1,3,25,63,62.85,blau,58.72,,0,2014/09/01,
108,ZOL,5,1,5,57.8,57.67,weiss,53.52,,,2014/09/01,
109,ZOL,5,1,25,58.3,58.42,weiss,54.2,,22,2014/09/01,
110,ZOL,5,2,5,62.3,62.16,blau,58.23,,0,2014/09/01,
111,ZOL,5,2,25,63,62.99,weiss,58.23,,0,2014/09/01,
112,ZOL,5,2,45,60.3,60.24,weiss,55.8,,0,2014/09/01,
113,ZOL,5,3,5,58.9,58.85,blau,55.23,,0,2014/09/01,
114,ZOL,5,3,25,55.9,55.77,blau,51.69,,0,2014/09/01,
115,ZOL,5,3,45,57.3,57.18,blau,53.03,,0,2014/09/01,
116,ZOL,3,2,5,48.7,48.69,blau,40.89,,0,2014/09/01,
117,ZOL,3,2,25,49.6,50.22,blau,43.73,,22,2014/09/01,
118,ZOL,3,2,45,56,56.08,blau,50.02,,0,2014/09/01,
119,ZOL,4,2,5,48.2,48.14,blau,40.88,,0,2014/09/01,
120,ZOL,4,2,25,49.8,49.81,blau,43.97,,0,2014/09/01,
121,ZOL,4,2,45,53,52.91,blau,47.05,,0,2014/09/01,
122,ZOL,2,2,5,,,,,,12,2014/09/01,
123,ZOL,2,2,25,,,,,,12,2014/09/01,
124,ZOL,2,2,45,,,,,,12,2014/09/01,
125,ZOL,6,2,5,,,,,,12,2014/09/01,
126,ZOL,6,2,25,,,,,,12,2014/09/01,
127,ZOL,6,2,45,,,,,,12,2014/09/01,
27,THU,3,1,5,68.2,68.31,weiss,66.44,10,0,2014/08/30,
28,THU,3,2,25,,,,,,11,2014/08/30,
29,THU,3,2,5,66.7,66.95,weiss,65.09,10,0,2014/08/30,
30,THU,3,2,25,,,,,,11,2014/08/30,
31,THU,3,2,45,,,,,,11,2014/08/30,
32,THU,3,3,5,61.6,61.65,weiss,59.7,10,0,2014/08/30,
33,THU,3,3,25,,,,,,11,2014/08/30,
34,THU,5,1,5,65.4,65.34,weiss,63.6,10,0,2014/08/30,
35,THU,5,1,25,,,,,,11,2014/08/30,
36,THU,5,2,5,62.4,62.62,weiss,60.8,10,0,2014/08/30,
37,THU,5,2,25,,,,,,11,2014/08/30,
38,THU,5,2,45,,,,,,11,2014/08/30,
39,THU,5,3,5,67.2,67.43,weiss,65.52,10,0,2014/08/30,
40,THU,5,3,25,,,,,,11,2014/08/30,
41,THU,2,2,5,56.7,56.68,weiss,46.11,15,0,2014/08/30,
42,THU,2,2,25,,,,,,11,2014/08/30,
43,THU,2,2,45,,,,,,11,2014/08/30,
44,THU,6,2,5,60.1,60.2,weiss,51.35,10,0,2014/08/30,
45,THU,6,2,25,,,,,,11,2014/08/30,
46,THU,6,2,45,,,,,,11,2014/08/30,
47,THU,5,2,5,,,,,,12,2014/08/30,
48,THU,5,2,25,,,,,,12,2014/08/30,
49,THU,5,2,45,,,,,,12,2014/08/30,
50,THU,1,2,5,,,,,,12,2014/08/30,
51,THU,1,2,25,,,,,,12,2014/08/30,
52,THU,1,2,45,,,,,,12,2014/08/30,
201,KRA,2,1,5,63.9,63.79,weiss,62.13,,0,2014/08/29,
202,KRA,2,1,25,71.5,71.41,weiss,69.85,,0,2014/08/29,
203,KRA,2,2,5,64.5,64.91,weiss,63.24,,22,2014/08/29,
204,KRA,2,2,25,67.9,68.08,weiss,66.61,,0,2014/08/29,
205,KRA,2,2,45,68.6,68.84,weiss,67.46,,22,2014/08/29,
206,KRA,2,3,5,66.4,66.32,weiss,64.37,,0,2014/08/29,
207,KRA,2,3,25,69.6,69.63,weiss,68.11,,0,2014/08/29,
208,KRA,6,1,5,63.4,63.05,weiss,60.95,,22,2014/08/29,
209,KRA,6,1,25,66.5,66.21,weiss,64.43,,22,2014/08/29,
210,KRA,6,2,5,64,64.04,weiss,62.16,,0,2014/08/29,
211,KRA,6,2,25,70.9,70.92,weiss,69.25,,0,2014/08/29,
